"Variable","Range","Years_missing","Defination"
"Rotifers mass","16149.28-1829723.58","1975-2020 (0)","from 5 different sources - continuous - see Bashevkin et al. 2022"
"Striped bass","841.73-126008.79","1975-2020 (1)","fall (September - December) - midwater trawl - biomass of age 0 individuals"
"Striped bass bay study midwater trawl","1543.52-66486.40","1980-2020 (1)","continuous - midwater trawl - biomass of age 0 individuals"
"Striped bass bay study otter trawl","5481.46-164265.38","1980-2020 (0)","continuous - ottor trawl - biomass of age 0 individuals"
"Striped bass summer townet","81.34-1434.81","1975-2021 (0)","summer (June – August) - townet - biomass of age 0 individuals"
"Secchi","39.68-99.26","1980-2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - continuous monthly - selected stations to ensure continuous monthly coverage"
"Delta smelt","0.00-13403.20","1975-2020 (1)","fall (September - December) - midwater trawl - biomass"
"Delta smelt bay study midwater trawl","0.00-5040.32","1980-2020 (1)","continuous - midwater trawl - biomass"
"Delta smelt bay study otter trawl","0.00-1122.98","1980-2020 (0)","continuous - ottor trawl - biomass"
"Delta smelt summer townet","0.00-3771.00","1975-2021 (0)","summer (June – August) - townet - biomass"
"Mississippi silverside","0.00-191891.78","1976-2020 (0)","from the Delta juvenile fish monitoring program - continuous - combination of surface trawls and beach seines - biomass"
"Temperature","15.14-17.80","1980-2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - continuous monthly - selected stations to ensure continuous monthly coverage"
"Turbidity","-99.26--39.68","1980-2020 (0)","negative secchi depth"
"Total zooplankton biomass","528978.86-5534603.95","1975-2020 (0)","summed zooplankton biomass"
"Total zooplankton energy","12360548.10-115220629.09","1975-2020 (0)","summed zooplankton energy"
