"Year","BayStudy_MidwaterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_MidwaterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_MidwaterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_AmericanShad","BayStudy_MidwaterTrawl_fish_biomass_PacificHerring","BayStudy_MidwaterTrawl_fish_biomass_ThreadfinShad","BayStudy_MidwaterTrawl_fish_biomass_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_biomass_DeltaSmelt","BayStudy_MidwaterTrawl_fish_biomass_StripedBass_age0","BayStudy_MidwaterTrawl_fish_biomass_LongfinSmelt","BayStudy_MidwaterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_OtterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_OtterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_OtterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_OtterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_OtterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_AmericanShad","BayStudy_OtterTrawl_fish_biomass_PacificHerring","BayStudy_OtterTrawl_fish_biomass_ThreadfinShad","BayStudy_OtterTrawl_fish_biomass_NorthernAnchovy","BayStudy_OtterTrawl_fish_biomass_DeltaSmelt","BayStudy_OtterTrawl_fish_biomass_StripedBass_age0","BayStudy_OtterTrawl_fish_biomass_LongfinSmelt","BayStudy_OtterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_Marine_pelagic_forage_fishes"
1990,1.91203235591507,0.617424242424242,0,2.67648170408059,0.767361111111111,0.90986790986791,0.778860028860029,4.36812140575412,3.29390594650483,14221.9278291374,900.90085041232,0,12805.8294811155,1213.33620007836,10183.5799748406,5494.45495067862,31113.2989547349,13706.7303315279,0.2,2.25980392156863,0,0,0.394444444444444,1.36922603437439,0.322344322344322,2.28601480116316,2.25980392156863,2172.81327869567,818.832274516416,0,0,434.999945802201,8390.14756376032,973.955653028781,11971.916441287,818.832274516416
1991,1.08573540280857,1.25793769781776,0,5.01249151825665,0.486111111111111,0.947674418604651,0.873557692307692,3.39307862483203,6.2704292160744,11067.5682997671,1274.52082451286,0,16535.7561268131,1265.10039170974,8638.81985082953,6220.85502749413,27192.3435698005,17810.2769513259,0.25,0.30952380952381,0,0,0,1.42707262616581,0.452380952380952,2.12945357854676,0.30952380952381,3258.25022119261,276.181140257946,0,0,0,9408.43676778422,3302.07959761525,15968.7665865921,276.181140257946
1992,1.01454765041722,2.13088330109607,0.333333333333333,8.53647637863506,0.636363636363636,1.20930053570885,0.798412698412698,3.99195785423574,10.6673596797311,6589.17829966875,2000.75844414261,1101.58548062149,17716.1145533528,868.517040910043,5121.19884936966,6249.13053883226,19929.6102094022,19716.8729974954,0.266666666666667,0.517857142857143,0,0,0.296296296296296,1.25964849888047,0.662388591800356,2.48500005364378,0.517857142857143,2926.50610347995,344.290970862369,0,0,174.043094069373,6827.2577780336,1219.82363505223,11147.6306106352,344.290970862369
1993,1.61793210537588,1.96653895274585,2.2377358490566,5.28634259259259,0.905723905723906,1.97786971483821,1.45989496959646,8.19915654459106,7.25288154533844,6467.97317557089,2050.88183501347,8187.0837706638,12831.1201417435,816.465106203156,7369.59237330622,1864.33987402077,24705.4542997648,14882.0019767569,0.466666666666667,0,0.333333333333333,0,0.5625,1.69598526517636,0.989302325581395,4.04778759075776,0,2703.1631022416,0,36.1763055453117,0,346.912670611905,6155.49908345684,1317.35667109679,10559.1078329525,0
1994,0,1.08231411376432,0,7.82539682539683,0.5,0.733333333333333,0.688888888888889,1.92222222222222,8.90771093916114,0,1072.43938087322,0,20245.2723462644,1145.85805358948,15070.3963001804,3922.94542118187,20139.1997749518,21317.7117271376,0.5,0.375,0,0,0.696551724137931,1.27037593984962,0.521212121212121,2.98813978519968,0.375,2352.46997927524,124.535046495789,0,0,566.289296867392,7640.50641820626,2764.46472968641,13323.7304240353,124.535046495789
1995,1.2046104845447,0.592171717171717,0.2,4.71239108409321,0.727124183006536,1.07442403032954,1.82670832331971,5.03286702120049,5.30456280126493,6381.34310987312,839.567579495285,355.976598745491,18683.5956317625,1483.55505704465,7486.81484567123,2835.40868354962,18543.0982948841,19523.1632112577,0.5,0.533333333333333,0,0,0.637037037037037,1.95803270803271,1.18125836680054,4.27632811187028,0.533333333333333,4106.47140046866,214.560714744611,0,0,381.066469021961,9202.31445935087,1451.68944672218,15141.5417755637,214.560714744611
1996,1.61839430894309,0.686507936507937,0.765625,3.78497470981813,0.917241379310345,0.959114959114959,1.63194594594595,5.89232159331434,4.47148264632607,6393.34182241348,587.475089445108,4753.8020389519,21035.3494181632,1971.47427241899,10107.9039339992,12879.3024104568,36105.8244782403,21622.8245076083,0.518518518518518,0.430555555555556,0.166666666666667,0,0.62258064516129,1.13942042680526,0.848883572567783,3.29606982971952,0.430555555555556,3810.64466815587,253.772233118634,1556.66926938137,0,512.07878913499,6778.13287345536,2131.51274402315,14789.0383441507,253.772233118634
1997,1.23194684832616,1.12680776014109,2.18924162257496,3.03453328824536,1.16666666666667,1.10799936750004,1.03963869157239,6.73549319664022,4.16134104838645,9153.37399405187,770.192135245584,14096.75391791,14756.4492452962,1218.87178070537,7238.42482649531,6533.45840557229,38240.8829247348,15526.6413805418,0.142857142857143,0.263157894736842,0.361111111111111,0,0.333333333333333,1.12371747627718,2.10723429156609,4.06825335514486,0.263157894736842,798.098966733773,164.072329862452,2457.98765096776,0,208.42100234335,7529.88672023872,6029.04679543465,17023.4411357183,164.072329862452
1998,1.6628233727606,0.410029498525074,1.30721903199344,5.20045348992717,0.69047619047619,1.01709649376992,2.8418982126816,7.51951330168175,5.61048298845225,4170.29607927863,364.532959959091,4611.48993663843,22281.627093435,1114.37423792593,9602.54957730432,2994.77035687251,22493.4801880198,22646.1600533941,0.730555555555556,0.288888888888889,0.57843137254902,0,0.296296296296296,1.11000898472597,0.893103698859094,3.60839590798593,0.288888888888889,2692.19191812243,230.188007137705,1598.95185043201,0,235.802439762635,6958.14744790734,1518.21235189111,13003.3060081155,230.188007137705
1999,1.10015679294855,0.741854636591479,0.472222222222222,9.12067259578164,0.738738738738739,0.814117647058824,2.60315594436232,5.72839134533066,9.86252723237312,10487.5375083485,462.497277760384,4193.55112743664,51711.5460139416,1095.75687987686,4679.62619457831,4572.62709142166,25029.098801662,52174.0432917019,0.333333333333333,0.2,0,0,0.582251082251082,1.19851771219696,2.47370955011839,4.58781167789976,0.2,2657.02101654612,120.125809226376,0,0,556.973958678762,9600.04140128652,2170.9171801567,14984.9535566681,120.125809226376
2000,1.41512826364517,2.86059757236228,1.13771043771044,13.5045988921723,1.02173913043478,1.06504824151883,1.69809888825645,6.33772496156567,16.3651964645346,12358.3960995113,3178.7792054537,16834.217156651,53653.4103176063,2071.86385721409,12558.0988312172,4960.7511889418,48783.3271335354,56832.18952306,0.822222222222222,0.37037037037037,0.541666666666667,0,0.770833333333333,1.30862353452019,1.03032236949763,4.47366812624004,0.37037037037037,6106.85035810944,135.432221081464,9299.33154151297,0,842.562908113629,6030.10895497211,1648.4161513081,23927.2699140162,135.432221081464
2001,1.11666038210156,3.05897479855992,1.65853658536585,5.45149429723008,0.466666666666667,1.42936631493975,1.23037037037037,5.90160031944419,8.51046909579,10140.0912800752,3551.4832834897,4101.50297442923,28598.7211621548,1559.42420339426,5087.09624586186,7422.74999891145,28310.8647026721,32150.2044456445,0.623015873015873,0.466666666666667,0,0,0.2,1.36495856676004,0.879034244887903,3.06700868466381,0.466666666666667,3008.3513800393,242.951196892752,0,0,136.332727954996,7816.46175216467,3711.94051540984,14673.0863755688,242.951196892752
2002,1.02210387078808,2.61971830985915,0.529411764705882,11.7779050825369,0.375,0.752374491180461,0.780282274802823,3.45917240147725,14.3976233923961,7668.21034116692,4122.22418862286,1089.33504285626,37131.518634465,1421.92319561849,9156.80642580951,8876.21389003207,28212.4888954832,41253.7428230879,0.522222222222222,0.92962962962963,0.166666666666667,0,0.556410256410256,0.981746031746032,1.12169738863287,3.34874256567805,0.92962962962963,4693.14592957489,586.549431253305,2061.88891317157,0,596.258025313603,12135.7597327971,1736.21716320996,21223.2697640671,586.549431253305
2003,1.73550264550265,1.30145848035756,0.596866096866097,4.1368149790056,0.42156862745098,0.558823529411765,0.719787131107886,4.03254803033937,5.43827345936317,6450.52767295169,2371.85349320686,2941.73428811929,18841.0111721211,1140.01846114392,4234.02500113908,4074.26451152095,18840.5699348749,21212.864665328,0.541666666666667,0.537037037037037,0,0,0.333333333333333,0.930555555555556,1.0440251572327,2.84958071278826,0.537037037037037,1369.59362073712,475.891082289155,0,0,195.897886091537,4862.91916164812,4594.79965990705,11023.2103283838,475.891082289155
2004,0.886894586894587,1.88550993104868,0.471969696969697,1.81075447601147,0.674982674982675,0.725252525252525,0.92648709315376,3.68558657725324,3.69626440706015,10573.7790602381,1339.99621299858,2014.5290238251,10890.7320735412,887.470489412957,7183.91975749581,2996.76991015445,23656.4682411264,12230.7282865398,0.185185185185185,0.409722222222222,0.111111111111111,0,0.0666666666666667,0.676470588235294,1.43308434484905,2.47251789604731,0.409722222222222,1247.95591630896,225.565237131027,428.446100033947,0,21.8516229746561,5292.80295514777,2406.22057421411,9397.27716867944,225.565237131027
2005,2.85238862050456,0.94479485793236,0.498888888888889,3.18115292368758,0.452991452991453,0.794117647058823,0.796136025876388,5.39452263532012,4.12594778161994,8181.8412053722,1442.36855539007,3317.48749049593,16252.4953786339,716.094008712309,5998.95383428187,4052.98191891933,22267.3584577816,17694.863934024,0.957142857142857,0.333333333333333,0,0,0.111111111111111,1.10291702888052,0.59,2.76117099713449,0.333333333333333,2768.84468557149,276.674159055544,0,0,51.9987335506092,8111.10610753209,1466.42835761801,12398.3778842722,276.674159055544
2006,1.59185307925987,1.62597950572634,1.74313446969697,5.97512356158639,0.26984126984127,1.02591549295775,0.949778658094403,5.58052296985026,7.60110306731273,7597.93990682972,1384.43173653504,5828.67036512498,30187.8859556124,1303.68206712517,9323.20246500572,2632.08676619034,26685.5815702759,31572.3176921474,0.0555555555555556,0.19047619047619,0.0952380952380952,0,0.348148148148148,1.40830992915693,1.1010752688172,3.00832699691593,0.19047619047619,1879.089952554,158.636520735487,771.449869136578,0,302.974331604977,8636.33457952761,909.332797454065,12499.1815302772,158.636520735487
2007,0.846666666666667,2.09708311368828,0.885416666666667,4.88623689955202,0.519230769230769,0.794061302681992,0.729885057471264,3.77526046271736,6.9833200132403,12930.704507942,1983.65215015744,10275.8961436416,18328.2048789286,1270.12383465661,12103.0218397687,5000.04964684604,41579.795972855,20311.8570290861,0,0.166666666666667,0.111111111111111,0,0,0.795513951069507,0.444444444444444,1.35106950662506,0.166666666666667,0,686.336008956018,1284.27941458213,0,0,10786.6268639838,1980.87491121708,14051.7811897831,686.336008956018
2008,0.706666666666667,3.34204372492044,0.0476190476190476,8.86187187577552,0.412587412587413,0.521324354657688,0.472222222222222,2.16041970375304,12.203915600696,6861.77958518376,5651.72177388237,739.21154802588,30115.8943079996,883.696413926,7241.74168422262,1412.09571836629,17138.5249497246,35767.6160818819,0.681818181818182,0.944444444444444,0,0,0.5,1.37942526567314,0.966873706004141,3.52811715349547,0.944444444444444,6494.85809131943,379.849690524551,0,0,275.946640404345,13175.0119956488,1360.49571625575,21306.3124436284,379.849690524551
2009,1.005,2.84402295926338,0.566666666666667,6.98242791245999,0.363636363636364,0.714717741935484,0.683333333333333,3.33335410557185,9.82645087172336,6546.65298780406,2511.56145976539,1906.57425636891,24022.5714177314,819.88388434211,5929.93431789255,4802.27216572555,20005.3176121332,26534.1328774968,0.38974358974359,0.375,0.0833333333333333,0,0,0.783715520106348,0.341666666666667,1.59845910984994,0.375,3343.73906317622,215.608403012667,424.744371314173,0,0,4272.57861413268,1338.39963943332,9379.46168805639,215.608403012667
2010,1.14393939393939,3.66139846743295,0.557692307692308,3.78480229170018,0.665760869565217,0.785714285714286,0.744052287581699,3.8971591444929,7.44620075913313,7994.4511659967,2016.9871054597,1221.53625928482,13274.8434265106,971.647552110786,5688.27938849229,2809.4003466131,18685.3147124977,15291.8305319703,0.0476190476190476,0.550724637681159,0,0,0.214285714285714,1.46839581517001,0.358730158730159,2.08903073580493,0.550724637681159,426.211080356785,152.730533119692,0,0,138.827390235271,2776.67971793856,282.457033883114,3624.17522241373,152.730533119692
2011,0.967141284714382,3.15424694050648,0.194871794871795,3.67174707602339,0.533333333333333,0.780174291938998,0.624436936936937,3.09995764179545,6.82599401652987,5159.86394851706,3513.3458070943,643.762857104456,15749.4489516193,573.329562257312,4487.63861793478,1901.50978256181,12766.1047683754,19262.7947587136,0.583994708994709,0.554778554778555,0,0,0.285714285714286,1.30301622692927,0.936117936117936,3.1088431577562,0.554778554778555,4612.2707968485,323.841328448997,0,0,173.455737469214,5671.74884161746,2263.61322552297,12721.0886014582,323.841328448997
2012,1.26612117669979,0.888624338624339,0.259259259259259,2.68801785975699,0.533333333333333,1.10540988547318,0.625,3.78912365476555,3.57664219838133,9754.78606662262,1904.17911610997,1841.44032694712,10979.3005287723,1353.50241851487,5484.22895743136,3942.85437814347,22376.8121476594,12883.4796448823,0.387179487179487,0.332804232804233,0,0,0.114285714285714,1.04995590828924,0.581159420289855,2.1325805300443,0.332804232804233,2651.53630606355,132.775912129236,0,0,211.549507603456,8393.23457164581,2958.05890981055,14214.3792951234,132.775912129236
2013,1.38162393162393,2.21459767562366,1.33704292527822,5.75189393939394,1.04220779220779,0.824302134646962,0.761904761904762,5.34708154566167,7.9664916150176,9711.37850863376,2069.77453441311,5601.94912007953,17845.767359761,1019.15192943754,12048.4155730394,793.276054262463,29174.1711854527,19915.5418941742,0.237179487179487,0.308333333333333,0.0416666666666667,0,0.207407407407407,0.876261803972647,0.549019607843137,1.91153497306935,0.308333333333333,1799.03779470538,330.594645551227,285.851318149163,0,128.546890472735,5187.68270316084,819.644187100921,8220.76289358904,330.594645551227
2014,1.02079619726679,1.17540199913081,0.683333333333333,3.46194368089915,0.1,0.416666666666667,0.715277777777778,2.93607397504456,4.63734568002996,9378.31746742297,1437.81964843323,4421.26126640762,12098.8779033461,80.7166752649943,6243.97175542181,1729.31890755421,21853.5860720716,13536.6975517794,0.806267806267806,0.533333333333333,0,0,0.0909090909090909,0.975,0.393939393939394,2.26611629111629,0.533333333333333,10671.7761289164,808.187559114512,0,0,74.7584396666492,10875.5575520916,1289.96564704481,22912.0577677194,808.187559114512
2015,0.606837606837607,0.917285200179937,0.291666666666667,3.53982947875602,0.333333333333333,0.505555555555556,0.373015873015873,2.11040903540904,4.45711467893596,36084.2695156718,991.446012965158,759.693319251536,9147.76856022577,398.532572299302,6864.60803001176,2501.41732936968,46608.5207666041,10139.2145731909,0.194444444444444,0,0,0,0.0476190476190476,0.541666666666667,0.0476190476190476,0.831349206349206,0,3273.27434251272,0,0,0,35.7416568947128,5319.6878653552,188.025068430849,8816.72893319348,0
2016,1.078125,0.883986928104575,0.166666666666667,6.34030512016719,0.166666666666667,1.03809523809524,0.5,2.94955357142857,7.22429204827176,9085.88190072276,1065.31240381381,357.721898595691,11284.1830235078,134.527792108324,2715.76184044466,458.956251735531,12752.849683607,12349.4954273216,0,0.333333333333333,0,0,0,0.760673234811166,0.444444444444444,1.20511767925561,0.333333333333333,0,257.424347099207,0,0,0,3158.81369271736,238.947676706975,3397.76136942434,257.424347099207
2017,2.29711138024817,1.06666666666667,0.82996632996633,5.90517991616937,0,1.06129368805425,2.15921717171717,6.34758856998593,6.97184658283603,11457.1424852572,734.567658337772,9137.71292597488,18897.0262652162,0,15861.4034438065,2599.18422494066,39055.4430799792,19631.593923554,0.641025641025641,0.333333333333333,0.0666666666666667,0,0,0.989210459507489,0.564564564564564,2.26146733176436,0.333333333333333,3372.8426855732,157.11949387571,169.748435906268,0,0,15983.683431673,1091.8714263316,20618.145979484,157.11949387571
2019,1.36363636363636,0.166666666666667,0,6.5695652173913,0,0.680555555555556,0,2.04419191919192,6.73623188405797,9298.45952100876,642.348401174095,0,19677.9097687382,0,10126.3996336862,0,19424.859154695,20320.2581699123,0.639186900056465,0.283333333333333,0,0,0,1.05420580533734,0.593860495017679,2.28725320041149,0.283333333333333,3603.3663223042,116.153447163335,0,0,0,9859.12550729381,688.469206341041,14150.9610359391,116.153447163335
2020,2.21184209379928,0.583333333333333,0.638888888888889,15.1660076242166,0,0.5375,0.416666666666667,3.80489764935484,15.7493409575499,10144.2438106319,1372.67001182111,3899.55117549929,41760.7817322728,0,3928.85969894461,1705.81110460526,19678.4657896811,43133.4517440939,0.336538461538462,0.0666666666666667,0,0,0,0.739285714285714,0.304093567251462,1.37991774307564,0.0666666666666667,2221.03331507986,396.27036973945,0,0,0,8262.64133559467,800.661013376376,11284.3356640509,396.27036973945
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0740740740740741,0,0.0416666666666667,0,0,0.700704225352113,0.421212121212121,1.23765708730497,0,314.49731791472,0,449.290860818502,0,0,3887.46778133748,933.144883915259,5584.40084398596,0
