StationNZ,Core,Current,Location,lat_degrees,lat_minutes,lat_seconds,lon_degrees,lon_minutes,lon_seconds,year_start,year_end,km,lat,lon
NZ076,0,no,San Joaquin River bet. lights 10 & 11.,38,1,19,121,45,49,1972,1993,90,38.02194444,-121.7636111
NZD14,0,no,Big Break.,38,1,5,121,42,38,1972,1984,94,38.01805556,-121.7105556
NZ066,0,no,Sacramento River at NE end  of Decker Is.,38,6,31,121,42,52,1972,1993,95,38.10861111,-121.7144444
NZ078,0,no,San Joaquin River bet. lights 19 & So. shore.,38,2,51,121,42,24,1972,1993,96,38.0475,-121.7066667
NZD15,0,no,San Joaquin River at light 24.,38,3,9,121,41,18,1972,1993,98,38.0525,-121.6883333
NZ034,0,no,Montezuma Slough past abandoned RR.,38,4,40,121,53,0,1972,1984,100,38.07777778,-121.8833333
NZ068,0,no,Sacramento River at Rio Vista Coast Guard Sta.,38,8,53,121,41,1,1972,1993,100,38.14805556,-121.6836111
NZ071,0,no,Cache Slough at light 44.,38,12,41,121,39,53,1977,1991,100,38.21138889,-121.6647222
NZ099,0,no,Cache Slough at mouth of Shag Slough.,38,15,30,121,41,30,1977,1991,100,38.25833333,-121.6916667
NZ080,1,no,"San Joaquin River 549 m upstrm of light 26.  Core station, replaced by D16 in 1994 (core 1972-1993).",38,4,24,121,40,36,1972,1995,101,38.07333333,-121.6766667
NZ070,0,no,Sacramento River at light 37.,38,10,39,121,40,0,1977,1990,103,38.1775,-121.6666667
NZD16,1,yes,"San Joaquin River at Twitchell Island.  Core station, replaced NZ080 in 1994 (core 1994-present).",38,5,50,121,40,0,1994,NA,104,38.09722222,-121.6666667
NZ082,0,no,San Joaquin River 183 m downstrm from light 34.,38,5,23,121,39,3,1972,1993,105,38.08972222,-121.6508333
NZ069,0,no,Sacramento River at NW end of Ida Is.,38,10,20,121,38,38,1977,1977,106,38.17222222,-121.6438889
NZ084,0,no,San Joaquin River 183 m downstrm from light 42.,38,6,13,121,36,20,1972,1993,110,38.10361111,-121.6055556
NZD19,0,yes,Franks Tract near Russo's Landing.,38,2,38,121,36,49,1972,NA,110,38.04388889,-121.6136111
NZ103,0,no,Sacramento River at Isleton.,38,10,21,121,35,33,1977,1977,112,38.1725,-121.5925
NZ086,1,yes,San Joaquin River at Potato Point (light 53).,38,4,40,121,34,13,1972,NA,115,38.07777778,-121.5702778
NZ104,0,no,False River 640 m W. of Piper Slough.,38,3,23,121,39,48,1972,1984,120,38.05638889,-121.6633333
NZC09,0,no,West Canal 230 m downstream of Clifton Court gate.,37,50,4,121,33,14,1973,1993,120,37.83444444,-121.5538889
NZ088,0,no,San Joaquin River bet. lights 5 & 6.,38,3,15,121,30,51,1972,1993,121,38.05416667,-121.5141667
NZD28,1,yes,"Old River near Rancho Del Oro, south end of Holland Tract.",37,58,58,121,34,38,1972,NA,121,37.98277778,-121.5772222
NZP10,0,no,Middle River at Victoria Canal.,37,53,30,121,29,20,1973,1973,125,37.89166667,-121.4888889
NZ090,0,no,San Joaquin River bet. lights 21 & 22.,38,0,7,121,26,57,1972,1993,129,38.00194444,-121.4491667
NZ098,0,no,Middle River 914 m S. of Bacon Is bridge.,37,58,15,121,32,4,1972,1993,129,37.97083333,-121.5344444
NZM03,0,no,North Fork Mokelumne River.,38,8,44,121,33,24,1974,1993,130,38.14555556,-121.5566667
NZM07,0,no,South Fork Mokelumne River 1.6 km upstream of Terminous.,38,7,34,121,29,43,1974,1993,130,38.12611111,-121.4952778
NZM10,2,yes,Disappointment Slough near Bishop Cut (downstream of Rindge Tract Bridge).,38,2,37,121,25,35,1974,NA,130,38.04361111,-121.4263889
NZP02,0,no,Mokelumne River 1.6 km upstream of fork.,38,14,0,121,29,20,1973,1984,130,38.23333333,-121.4888889
NZ092,1,yes,San Joaquin River at Buckley Cover (downstrm from lights 39 & 40).,37,58,42,121,22,55,1972,NA,136,37.97833333,-121.3819444
NZC03,0,no,Sacramento River at Greens Landing.,38,20,52,121,32,25,1973,1993,139,38.34777778,-121.5402778
